image_path,question,answer
images/small/fa/fad97051.jpg,What zodiac sign is depicted?,Leo
images/small/fa/fad97051.jpg,Is there a lion?,Yes
images/small/fa/fa25db7a.jpg,What is the shape of the lampshade?,Round
images/small/fa/fa25db7a.jpg,What is the shade made of?,Mesh
images/small/fa/faba3550.jpg,What is inside?,Oil
images/small/fa/faba3550.jpg,What color is the cap?,Yellow
images/small/fa/faa9cac7.jpg,What color are the items?,White
images/small/fa/faa9cac7.jpg,How many spoons are shown?,Two
images/small/fa/fabfb23c.jpg,What shape is the product?,Square
images/small/fa/fabfb23c.jpg,What color is the pattern?,Blue
images/small/fa/facc20fd.jpg,What object is shown?,Phone
images/small/fa/facc20fd.jpg,Is design colorful?,Yes
images/small/fa/fa9493a7.jpg,What color are the curtains?,White
images/small/fa/fa9493a7.jpg,Are there wrinkles?,Yes
images/small/fa/fab6cac5.jpg,What are these?,Towels
images/small/fa/fab6cac5.jpg,Is there white?,Yes
images/small/fa/facf67e4.jpg,What color is it?,Purple
images/small/fa/facf67e4.jpg,Is there a camera?,Yes
images/small/fa/fa92cfcd.jpg,What is the product?,Case
images/small/fa/fa92cfcd.jpg,What is the main color?,Red
images/small/fa/faf791a3.jpg,What shape is the light?,Rectangular
images/small/fa/faf791a3.jpg,What color is the fixture?,White
images/small/fa/fadff12f.jpg,What is pictured?,Case
images/small/fa/fadff12f.jpg,What color is it?,Red
images/small/fa/fabc4257.jpg,What is the main color?,Blue
images/small/fa/fabc4257.jpg,Is there a camera?,Yes
images/small/fa/fad433b0.jpg,Are monitors shown?,Yes
images/small/fa/fad433b0.jpg,What shape is the desk?,Rectangular
images/small/fa/fa5aee1a.jpg,What is the container's shape?,Square
images/small/fa/fa5aee1a.jpg,What color is the container?,White
images/small/fa/fa039ce1.jpg,What is the product?,Conditioner
images/small/fa/fa039ce1.jpg,What color is the label?,Red
images/small/fa/fa8dbc5e.jpg,What footwear is pictured?,Boot
images/small/fa/fa8dbc5e.jpg,What color is the boot?,Beige
images/small/fa/fad6f80e.jpg,What are the rings made of?,Metal
images/small/fa/fad6f80e.jpg,What is the product?,Binder
images/small/fa/fa66f8f2.jpg,What color is the case?,Orange
images/small/fa/fa66f8f2.jpg,Is it a phone?,Yes
images/small/fa/faeda843.jpg,What is pictured?,Phone
images/small/fa/faeda843.jpg,What is the pattern?,Marble
images/small/fa/fa3a64ed.jpg,What is depicted?,Pineapple
images/small/fa/fa3a64ed.jpg,What shape is it?,Square
images/small/fa/fad04d28.jpg,What is the grip?,Slim
images/small/fa/fad04d28.jpg,Is it nonslip?,Yes
images/small/fa/fa5a7f0a.jpg,What roast is it?,Medium
images/small/fa/fa5a7f0a.jpg,Is the acidity smooth?,Yes
images/small/fa/fade1ec6.jpg,Is this a phone?,Yes
images/small/fa/fade1ec6.jpg,What is the color?,Blue
images/small/fa/fa33348e.jpg,What product is shown?,Paper
images/small/fa/fa33348e.jpg,What brand is shown?,Amazonbasics
images/small/fa/fa661feb.jpg,What is this?,Hook
images/small/fa/fa661feb.jpg,What color is it?,Silver
images/small/fa/fa3aedf0.jpg,What is the object?,Frame
images/small/fa/fa3aedf0.jpg,What is its color?,Brown
images/small/fa/fa43b739.jpg,What is the main object?,Chair
images/small/fa/fa43b739.jpg,What color is it?,Gray
images/small/fa/fa739b7c.jpg,What is shown?,Desk
images/small/fa/fa739b7c.jpg,What color is it?,Gray
images/small/fa/fa113231.jpg,What is pictured?,Controller
images/small/fa/fa113231.jpg,Is it rectangular?,Yes
images/small/fa/faa4fc02.jpg,What is the product?,Backpack
images/small/fa/faa4fc02.jpg,What color is the inside?,Orange
images/small/fa/fa744795.jpg,Are calories listed?,Yes
images/small/fa/fa744795.jpg,Is sodium listed?,Yes
images/small/fa/fae6ef24.jpg,What is this?,Shelf
images/small/fa/fae6ef24.jpg,Is painting present?,Yes
images/small/fa/faf95698.jpg,What is this?,Necklace
images/small/fa/faf95698.jpg,What color is the chain?,Gold
images/small/fa/fac0c845.jpg,What is the image about?,Phone
images/small/fa/fac0c845.jpg,What color is predominant?,Black
images/small/fa/fa5b9c20.jpg,What are these?,Shoes
images/small/fa/fa5b9c20.jpg,What color are they?,Black
images/small/fa/fae9cb73.jpg,What is the main color?,Beige
images/small/fa/fae9cb73.jpg,What is it?,Headboard
images/small/fa/fa84f4d7.jpg,Is it a phone?,Yes
images/small/fa/fa84f4d7.jpg,Are flowers visible?,Yes
images/small/fa/fa8fc4f8.jpg,What is the object?,Vase
images/small/fa/fa8fc4f8.jpg,What shape is it?,Cylindrical
images/small/fa/fae806da.jpg,Is there nutrition information?,Yes
images/small/fa/fae806da.jpg,What shape is the product?,Rectangular
images/small/fa/faa16225.jpg,What is this?,Bench
images/small/fa/faa16225.jpg,What color is it?,Brown
images/small/fa/fa961276.jpg,What is the background color?,Pink
images/small/fa/fa961276.jpg,What pattern is featured?,Panda
images/small/fa/fa7fd731.jpg,What is the product?,Shoe
images/small/fa/fa7fd731.jpg,Are laces present?,Yes
images/small/fa/fa0d4b53.jpg,What color is the cap?,Green
images/small/fa/fa0d4b53.jpg,Is it organic?,Yes
images/small/fa/fadd17f7.jpg,Is it rectangular?,Yes
images/small/fa/fadd17f7.jpg,What is it?,Case
images/small/fa/fa7cf96a.jpg,What kind of cheese is it?,Cheddar
images/small/fa/fa7cf96a.jpg,Is it organic?,Yes
images/small/fa/fa6099a4.jpg,What is a main ingredient?,Almonds
images/small/fa/fa6099a4.jpg,Does it contain almonds?,Yes
images/small/fa/fa7e0e8a.jpg,What is the product?,Case
images/small/fa/fa7e0e8a.jpg,Are stars present?,Yes
images/small/fa/fad2cd71.jpg,What food is featured?,Curry
images/small/fa/fad2cd71.jpg,What color is 'BEEF'?,Yellow
images/small/fa/faae8863.jpg,What is the item in the bag?,Blanket
images/small/fa/faae8863.jpg,Is there artwork?,Yes
images/small/fa/fadbd94a.jpg,Is the motorcycle on wood?,Yes
images/small/fa/fadbd94a.jpg,What color is the strap?,Yellow
images/small/fa/fa688e55.jpg,What product is this?,Case
images/small/fa/fa688e55.jpg,What color is it?,Black
images/small/fa/fa18c2c2.jpg,What brand is visible?,Vedaka
images/small/fa/fa18c2c2.jpg,What is inside?,Pulses
images/small/fa/fae45f0e.jpg,What material is the dock?,Wood
images/small/fa/fae45f0e.jpg,Is it daytime?,Yes
images/small/fa/fa6c7506.jpg,What product is shown?,Case
images/small/fa/fa6c7506.jpg,What is the primary color?,Red
images/small/fa/fa05dede.jpg,What is the color?,Black
images/small/fa/fa05dede.jpg,Is it a phone?,Yes
images/small/fa/fa47e587.jpg,What product is shown?,Phone
images/small/fa/fa47e587.jpg,Is it rectangular?,Yes
images/small/fa/fa563fdf.jpg,What is the product?,Stand
images/small/fa/fa563fdf.jpg,What color is it?,Black
images/small/fa/fafec212.jpg,What is the serving size?,1/2
images/small/fa/fafec212.jpg,How many calories?,25
images/small/fa/fa1d391f.jpg,What is the product?,Case
images/small/fa/fa1d391f.jpg,Is wood present?,Yes
images/small/fa/fa6635ac.jpg,What is depicted?,Butterflies
images/small/fa/fa6635ac.jpg,What color are butterflies?,Gold
images/small/fa/fa7448e2.jpg,What color is the hose?,Green
images/small/fa/fa7448e2.jpg,What are the ends made of?,Metal
images/small/fa/fa4bcd3f.jpg,What are these?,Shoes
images/small/fa/fa4bcd3f.jpg,What color are they?,Gold
images/small/fa/fa5ce62d.jpg,What is the material?,Wire
images/small/fa/fa5ce62d.jpg,How many cubes?,Six
images/small/fa/fa627891.jpg,Is the product a phone?,Yes
images/small/fa/fa627891.jpg,Is Eiffel Tower visible?,Yes
images/small/fa/fa2da44a.jpg,What is the object?,Sunglasses
images/small/fa/fa2da44a.jpg,What is the lens color?,Brown
images/small/fa/fa21aedf.jpg,Is it cardboard?,Yes
images/small/fa/fa21aedf.jpg,Is it open?,Yes
images/small/fa/fa10a504.jpg,What color is the bag?,Teal
images/small/fa/fa10a504.jpg,Is this square?,No
images/small/fa/fa403808.jpg,What product is shown?,Shelf
images/small/fa/fa403808.jpg,What material is it?,Wood
images/small/fa/fa3d3206.jpg,What material is the bottle made of?,Glass
images/small/fa/fa3d3206.jpg,Is sodium listed?,Yes
images/small/fa/fae4d496.jpg,What are these?,Shoes
images/small/fa/fae4d496.jpg,What color are they?,Blue
images/small/fa/faa6f62e.jpg,What color is the cable?,Black
images/small/fa/faa6f62e.jpg,Is there a logo?,Yes
images/small/fa/fa0dc2a3.jpg,What is the product?,Rug
images/small/fa/fa0dc2a3.jpg,What pattern is featured?,Chevron
images/small/fa/fa8d31e4.jpg,What is the product?,Flip-flop
images/small/fa/fa8d31e4.jpg,What color is it?,Brown
images/small/fa/fa2ba982.jpg,What is the footwear?,Flip-flops
images/small/fa/fa2ba982.jpg,Are flowers present?,Yes
images/small/fa/fa0ebbfc.jpg,What is the item?,Case
images/small/fa/fa0ebbfc.jpg,What color is it?,Black
images/small/fa/fa9160fd.jpg,What is being worn?,Ring
images/small/fa/fa9160fd.jpg,What is the background color?,White
images/small/fa/fa3d2acd.jpg,What is the animal?,Gecko
